system,system_name,Alg I,Alg II,Bio I,Chemistry,ELA,Eng I,Eng II,Eng III,Math,Science,Enrollment,Black,Hispanic,Native American,English Learners,Students with Disabilities,Economically Disadvantaged,Per-Pupil Expenditures,Black/Hispanic/Native American,ACT Composite,Chronic Absence,Suspension Rate,Expulsion Rate,Graduation,Dropout,Alg I Growth,Alg II Growth,Bio I Growth,Chemistry Growth,ELA Growth,Eng I Growth,Eng II Growth,Eng III Growth,Math Growth,Science Growth,Region
610,Meigs County,71.2,47.6,72.1,43.6,49.3,74.8,75.5,59.1,59.1,66.5,1680,1.4,1.3,0.2,0.2,19.2,69.3,8703.1,2.9,19.2,13.8,2.2,0,100,0,-4.3,7.1,-0.3,24.2,-2.4,-0.6,4.3,9.1,4.1,3.3,Southeast
620,Monroe County,62.8,51.6,66,35.6,41.5,64.4,58.6,45.4,49.5,55,5335,2.5,4.9,0.3,0.2,14.8,65.6,8566.8,7.7,17.9,12,3.9,0.1,95.2,3.8,-2.5,8.5,8.7,-2.2,0.6,0.2,1.7,13.6,5.6,-0.8,East TN
621,Sweetwater City,,,,,50.1,,,,59.9,61.4,1509,7.5,9,0.2,0.4,19.6,79.1,8332,16.7,,10,2.4,0,,,,,,,4.4,,,,7.8,6.5,East TN
630,Montgomery County,74.1,67.9,76.8,52.8,55.6,77.2,70.6,47.9,63.5,78.1,30670,28.2,11.5,1,2.7,14.2,49.4,8675.5,40.7,19.4,6,5.3,0.3,93.4,4,6.9,15.8,6.5,10.1,2.1,-1.1,2.5,9,13.1,2,Mid Cumberland
640,Moore County,78,43.5,85.1,60,54.3,90.1,73,32.4,61.9,67.8,886,3.6,0.8,0.2,0,15.3,48.5,9946.8,4.6,18.5,8.8,1.2,0,86.7,10.7,21.2,-7.4,2.2,13.5,3.3,30.7,13.5,-2,3,-1.7,South Central
650,Morgan County,53.1,24.3,52,25.6,34.1,66.1,55.1,32.9,35.2,50.8,3009,1,1.1,0.2,0.3,15.3,68.4,8597.9,2.3,17.9,5.7,1.4,0,97.9,1.7,9,1.7,-0.4,0.4,-5.9,-1.2,6.4,3.3,5.4,-1.2,East TN
660,Obion County,77.6,75.3,74.5,61.8,47.3,74,66,49.5,53.6,71.3,3435,5.6,4.5,0,0,15,59.1,8731.7,10.1,19.1,11.3,2.2,0,87.7,7.5,7.3,11.4,5.3,8.3,-4.2,1.8,-5,6.7,-1.4,-1.1,Northwest
661,Union City,79.5,87.8,74,68.6,46.2,67.5,66.7,63.1,53.3,58.6,1526,41.9,10.7,0.3,4.8,11.1,67.9,9229.5,52.9,21.1,6.9,4.2,0,88.6,7.1,-3.5,21.5,-2.9,22.3,1.5,0.5,-5.3,6.6,13,2.2,Northwest
670,Overton County,77.9,27.6,71.2,46.3,48.1,82.3,55.9,40,57.6,69.5,3086,1.4,0.7,0.5,0,13.5,71.5,8426.3,2.6,18.9,14,0.8,0,91.2,7.2,19.4,-5.6,2.8,-3,-5.9,13,-4.4,-1,0.6,3.2,Upper Cumberland
680,Perry County,48.5,50.6,58,19,42.6,60.8,60.6,35.6,61.8,66.5,1058,3.2,2.1,0.8,0,17.1,71.7,9212,6.1,18,24.1,1.5,0,91.9,7,-1.5,0.6,4.7,12.3,-5.6,-6.6,10,10.1,5.2,6.2,South Central
690,Pickett County,85.9,33.3,69.4,29.9,33.5,77,65.2,29.1,28.9,52.7,733,0.8,2.3,0,0,14.7,65.3,8184.2,3.1,19.7,13.6,0.1,0,94.4,0,21.1,-1.6,-27.1,8.9,-10.3,6.4,7.6,-8.1,-11.8,-8.7,Upper Cumberland
700,Polk County,60.5,59.9,70.2,43.6,41.6,64.1,54.8,41.1,53.7,55.8,2388,1.2,2.3,0.2,0,13.9,70.5,8629.2,3.7,17.9,16,1.4,0,87.6,7.4,6.3,20,0.5,17.6,-4.4,4.7,-3.8,3.7,7.4,-1.5,Southeast
710,Putnam County,,,73.9,40.6,48.9,74.9,69.1,36.3,53.4,67.7,10439,4.2,11.4,0.4,6.3,17.7,55,8815.7,16,19.6,8.8,3.2,0,92.6,5.8,,,-5.6,0.2,-2.9,-4.7,3.1,-3.2,0.3,-1.1,Upper Cumberland
720,Rhea County,75.8,56,62.3,55.6,47.5,71.3,68.8,48.1,59.8,66.8,4174,2.1,7.7,0.4,2.9,12,70.1,9006,10.2,18.6,19.8,3.9,0,85.3,5.9,7.6,8.2,-0.9,10.1,-0.1,2.7,3.8,6.4,4.3,4.4,Southeast
721,Dayton City,91.7,,,,47.5,,,,47.4,70,788,6.4,11.3,0.1,6,14,54.5,8556.7,17.8,,11.8,0.9,0,,,-3.5,,,,-7.4,,,,-7.7,-1.4,Southeast
730,Roane County,70.1,54.2,65.9,52.5,48.3,74.3,65.2,40.1,53.4,70.9,6593,5.2,1.8,0.6,0,17.3,60.2,8960,7.6,19,,0.1,0,92.8,4.8,2.1,3.2,-2,9,-1.3,6.7,-2.3,-3.2,2.8,1.4,East TN
740,Robertson County,73.3,58.5,65.4,42.4,47.5,78.3,67.7,42.3,55.5,58.1,11001,11.3,12.1,0.2,6.6,15.3,51.6,8077.1,23.6,19.4,10.3,4.7,0,95.1,3.3,-0.5,17.4,-2.8,9.8,-0.3,4.8,4.4,5.7,2.7,0.5,Mid Cumberland
750,Rutherford County,74.6,59.9,73,59.9,58.7,79.6,72,48.1,64.9,76.9,40841,18.6,11.6,0.2,5.9,11,39.7,8237.1,30.4,19.9,20.5,4.2,0.3,92.5,4.5,4.9,5.8,1.6,2.9,-2.1,-0.4,-2.4,5.2,2.4,0.5,Mid Cumberland
751,Murfreesboro City,,,,,49.2,,,,62,60.2,7411,28.5,12.4,0.4,8.1,14.9,52.8,9354.9,41.3,,2.4,1.1,0,,,,,,,-5.1,,,,-2.3,-3.7,Mid Cumberland
760,Scott County,55,35.4,52,19.5,41.6,67.5,53.2,37.1,42.1,54.6,2849,0.3,1.3,0.2,0,13.3,86.8,8241.7,1.8,16.8,9.4,3.3,0.2,85.4,9.9,-10.4,2.5,-3.3,8.4,-4.1,4.6,0.3,5.3,1.2,0,East TN
761,Oneida SSD,74.1,78.4,86.5,42.1,47.9,85.4,69,59.4,48.9,63.1,1221,0.7,0.5,0.2,0,10.1,63.5,8405.5,1.4,19.4,4.2,0,0,98.8,1.2,-2.7,16.1,19.9,4.9,-2.5,1.6,2,25.8,7.5,-3.8,East TN
770,Sequatchie County,67.7,46.1,77.8,27.3,38.2,71.2,69.1,30.1,47.7,54.3,2166,0.6,5,1.2,1.6,17.5,68.1,7904.6,6.8,19.4,18.6,2.5,0.3,85.6,13,3.8,-6.7,25.9,14.4,0.3,0.2,12.6,-3.8,4.4,-0.6,Southeast
780,Sevier County,66,48.5,63.7,48.4,43.3,69.1,65.5,48.7,47.3,62.9,14024,2,8.9,0.4,5.2,14.4,63.3,9614.4,11.3,20.3,19.5,1.4,0,86.2,10.4,0.1,2.2,-0.3,12.3,-4.8,-4.5,1.5,2.3,2.6,2,East TN
792,Shelby County,59.3,37.3,42.8,23.7,33,55.4,48.9,24,39.8,47.8,108936,78.4,11.3,0.1,8.3,12.9,79.8,11221.6,89.8,16.9,17.5,18.5,0.8,72.1,17.6,3.7,8.3,1.4,3.6,-0.7,0.7,1.5,3,5.9,3.2,Southwest/Memphis
793,Arlington City,88,66.9,82.5,49.8,75.7,88.8,78.1,50.7,75.1,88.3,4819,16,5.3,0.4,2.2,11,13.9,7705.1,21.7,21.1,7.9,2.3,0.1,94,4.4,13.2,13.3,10.6,10.5,1.9,4.2,0.5,2,7.2,0.7,Southwest/Memphis
794,Bartlett City,78.1,59.5,71.8,36.2,60.6,80.3,74.6,41.6,66.2,75.9,8235,27.5,5,0.6,2.3,13.8,36.3,8857.7,33.1,20.5,9.6,4,0.3,81.3,9.4,14.1,12.8,6.6,3.6,3.4,4.8,5.6,5.3,9.6,5.2,Southwest/Memphis
795,Collierville City,90.2,85.6,87.4,80.4,75.1,92.5,86.2,66.2,75.7,86.8,7774,17.5,4.3,0.4,4,13.4,15,8383.2,22.2,24,5.9,2.8,0.3,93,2.7,-0.1,5.3,2.9,11.9,-1.1,5,1.2,5.9,5.6,0.1,Southwest/Memphis
796,Germantown City,90,84.2,88.9,78.5,79.4,90.8,87.7,70.8,74.3,88,5624,12.3,3.1,0.3,2.6,9.8,9.6,7930.8,15.7,24.1,5.1,1.3,0,88.7,7.9,6.4,8.7,4.7,13.9,0.8,1.7,2.1,-1.5,2.8,-0.3,Southwest/Memphis
797,Lakeland City,,,,,83.2,,,,88.2,90.9,835,8.2,2.6,0.4,3.6,19.3,14.7,8685.3,11.2,,3.9,0,0,,,,,,,1.7,,,,4,1.2,Southwest/Memphis
798,Millington City,57.9,32.7,50.9,28.7,42.1,59.5,53.9,32.9,48.4,59.2,2597,38.8,11.3,0.8,3.7,16.1,75.2,8913.3,50.9,17.7,13.9,9.6,0.1,78.2,16.7,-14.3,7,-3.4,1.9,-7.6,-3.8,5.7,8.5,0,-1.7,Southwest/Memphis
800,Smith County,,,70.6,36.5,48.3,77.4,68.4,42.5,56.9,71.3,2949,3.5,3.6,0.2,0.7,14.7,57.9,8324.1,7.3,18.5,4.8,2.1,0.1,97.4,1.3,,,5.5,-3.6,-4.9,4.2,4.1,7.4,2.4,-1.1,Upper Cumberland
810,Stewart County,77.6,80.7,66.7,68.9,54.8,82.5,70.7,59.4,68.9,80,1950,2.6,2.1,0.6,0.1,13.4,49.1,9003.3,5.3,19.4,22.5,1.3,0,96.1,1.9,-2.7,17.3,3.1,8.6,-0.4,2.8,-0.9,10.8,0.9,-3.3,Mid Cumberland
820,Sullivan County,65.9,57.4,61.9,36.7,48.7,71.6,61.8,43.2,50.8,66.8,9963,1.5,1.6,0.3,0.4,17.6,58.3,9189.9,3.4,19.9,15,4.3,0.3,92.6,6.5,1.2,8.1,-1.5,5.6,-3.9,2.2,2.4,4.9,-0.3,1,First TN
821,Bristol City,67.2,61.1,65.4,65.4,55.3,75.5,73.4,54.1,63.3,76.5,3922,5.7,3,0.4,1.1,15.9,50.4,9829.8,9.1,21.3,11,3.4,0,88.7,4.9,-7.1,4.7,-5.2,6.9,1,0.1,-2.1,-5.6,7.7,2.5,First TN
822,Kingsport City,87.5,75.5,83.9,71.7,58.5,82.4,77.7,49.7,67.1,75.7,6906,10.1,4,0.5,1.3,19.9,56.5,10438.8,14.6,22.2,15.8,4.6,0,90.3,7.2,0.6,-1.1,0.5,14.2,-0.2,1.6,5.6,1.4,0.9,-2.3,First TN
830,Sumner County,73.8,59.4,68.6,52.6,60.3,76,70,48.5,67.7,72.5,27724,10.8,6.5,0.3,2,15.3,36.7,8402,17.6,20.4,9.3,2.4,0,89.5,7,3.4,9,1.8,5.4,2.5,0,0.6,3.8,11.7,0.3,Mid Cumberland
840,Tipton County,84.4,82,68.2,48.4,49.3,74.7,72.4,46.8,64.1,68.2,11029,24.7,2,0.2,0.4,16,55.5,8279.2,26.9,19.7,10.4,5.6,0,97.8,0.8,-0.9,16.6,0.9,19,3,-3,1.4,-2.4,11.1,2.2,Southwest/Memphis
850,Trousdale County,75.6,68.4,59.3,67.9,59.8,67.8,71.3,51.7,75.8,82.1,1178,14.7,3.8,0.2,1.1,16.4,57.3,8816.6,18.7,20.8,9.2,1.1,0,96.9,1,-14.5,-8,-19.1,-5.5,3.1,-14.2,-4.4,-6.4,3.8,9.2,Upper Cumberland
860,Unicoi County,51.2,26.6,72.6,42.6,42.8,75.7,63.3,37.8,48.5,68.4,2362,0.6,11.4,0.3,4.8,19,66.5,9362,12.3,18.1,23.3,2.4,0,93.6,4,2.8,3.8,19.3,6,-3.7,9.6,8,11.1,0.2,-0.8,First TN
870,Union County,63.4,55,53.1,47,38.2,64.9,54.6,48.3,38.1,50.8,4199,6,2.9,0.4,0.4,14.1,71.9,8802.5,9.3,17.4,20.9,5.2,0.1,87.1,8.6,-3.7,7.1,-9.4,22.4,-1.4,-3.5,-3.8,9.2,13.2,5.8,East TN
880,Van Buren County,68.3,68.5,49.2,32.8,35.8,62.3,57.7,41.9,41.6,55.8,728,0.1,0,0,0,17.2,63.9,9622.2,0.1,18.4,10.9,0.4,0,91.5,8.5,2.2,10.3,-20.2,13.5,-1.4,-8.4,-11,16.3,5.6,4.7,Upper Cumberland
890,Warren County,,,57.3,34.7,43.7,72.5,60.7,17.7,48.6,63.7,6371,5.6,15.5,0.5,6.7,16.5,70.2,8600.8,21.6,18.4,15,1.5,0,89.1,8.8,,,-10.8,2.7,-2.9,2,5.6,-5.7,8.4,-0.3,Upper Cumberland
900,Washington County,67,48.7,67.6,58.9,55,74.4,67.9,50.5,61.7,71,8546,2.5,3,0.4,0.6,14.3,48.2,8500.9,5.9,20.2,14.7,1.3,0.1,91,2.1,-1.1,-5.3,-6.4,20.5,-3.2,3,0.8,1.7,3.4,0.2,First TN
901,Johnson City,86.1,86.4,81.7,65,67.3,82.7,78,63.8,73.7,77.6,7669,14.4,8.7,0.2,4.9,13.7,49.5,9434.3,23.3,21.8,8.3,3.3,0.2,90.4,5.9,2.7,7.6,3.8,7.6,2,-4.6,0.7,0.4,4.2,0.3,First TN
910,Wayne County,71.8,56,69.5,29.7,36.9,78.1,68.9,32.9,42.6,60.3,2215,1.2,1.7,0.2,0.1,19.1,43.6,9505.6,3.1,18.2,19.7,0,0,95.8,1.2,10.8,-0.7,10,5.4,-11.5,-5.1,3.1,2.7,-4.2,-2.4,South Central
920,Weakley County,79.3,64.3,81.2,50.7,55.4,83.6,71.7,60.3,59.1,75.9,4209,9.9,2.3,0.1,0.1,14.1,58,8439.3,12.3,19.7,9.9,4.4,0,93,4.2,7.2,8.7,4.1,5.4,-3.9,2.6,-5.8,9.8,-1.9,-3.8,Northwest
930,White County,80.3,58.6,82.8,20.2,47.2,78.5,72.1,49.8,59,68.2,3871,3.6,2.1,0.2,0.5,16.7,66.7,7721.1,5.9,18.7,8.4,0.8,0,92.5,3,3.9,-7.5,4.4,-4.7,-2.6,-0.2,0.6,5.6,4.7,2.7,Upper Cumberland
940,Williamson County,90.3,84.8,89.2,81,80.7,92.9,88.7,68.6,80.3,91.1,34395,5,5.3,0.7,1.7,10.2,9.6,8739.7,11,23.8,7,0.2,0,94.4,4.4,1,4.1,1.7,3.5,-2.8,0.5,-0.6,-0.1,0.7,-0.9,Mid Cumberland
941,Franklin SSD,100,,,,69.1,,,,73.2,83.3,3515,15.5,24,0.7,12.2,12.5,38.9,13386.3,40.2,,3.2,0.3,0,,,3,,,,0.2,,,,2.3,-2.8,Mid Cumberland
950,Wilson County,69.8,58,74.1,45.4,60.6,78.1,76.1,44,65.3,81.9,16507,8.1,4.6,0.1,2.2,14.4,29.2,7690.8,12.8,20,11.6,4.8,0,96.3,2.9,-6.7,-6.9,-2.8,-1.8,-0.6,-5.5,1.3,-1.4,6.5,1.1,Mid Cumberland
951,Lebanon SSD,100,,,,49.8,,,,52.6,71.3,3572,18.4,13,0.4,9.2,14,61.9,8444.1,31.8,,8.4,4.9,0,,,,,,,-1.2,,,,-2.3,-1.2,Mid Cumberland
960,West Tenn School for Deaf,,,,,0,,,,0,0,,48.7,7.7,0,0,97.4,76.9,,56.4,,23.1,0,0,,,,,,,-7.1,,,,-3.6,0,Southwest/Memphis
961,Alvin C. York Institute,79.5,69.8,70.4,24.3,,72.4,66,52.4,,,,0.3,1.3,0.5,0.2,10,61.9,,2.1,,20.8,0,0,81.3,14.2,6.7,19.5,13.1,9.1,,7.2,3.8,12.8,,,Upper Cumberland
963,Tenn School for Blind,23.1,,25,,6.7,60,,20,0,10,,16.1,9.8,0,1.4,94.4,32.9,,25.9,,41.3,0,0,11.1,0,8.1,,-20.5,,-0.1,,,10,-1.7,-0.2,Mid Cumberland
964,Tenn School for Deaf,,0,11.8,,4.4,0,6.7,0,2.9,7.4,,25.6,6.3,0,0,98.8,0,,31.9,,30,0,0,77.8,0,,0,11.8,,4.4,0,-8.7,0,2.9,0.4,East TN
985,Achievement School District,34,20.4,20.6,4.5,14.3,37.8,33,8.2,23.3,26.1,6370,96.7,1.5,0,1.1,12.9,96.6,12804.4,98.2,14.2,27.2,21.4,0.1,54.7,27.6,-10.2,,-25.2,,-1,-17.5,,,2.7,4.3,Southwest/Memphis
