"system","system_name","AlgI","AlgII","BioI","Chemistry","ELA","EngI","EngII","EngIII","Math","Science","Enrollment","Pct_Black","Pct_Hispanic","Pct_Native_American","Pct_EL","Pct_SWD","Pct_ED","Per_Pupil_Expenditures","Pct_BHN","ACT_composite","Pct_Chronically_Absent","Pct_Suspended","Pct_Expelled","Graduation","Dropout","CORE_region"
391,"Lexington City",NA,NA,NA,NA,46.7,NA,NA,NA,67,70.2,925,25,6.5,0.1,1.9,13.2,62,9925.9,31.6,NA,10.8,0,0,NA,NA,"Southwest/Memphis CORE"
400,"Henry County",78.5,57.9,83.8,59.2,52.7,76.6,70.3,56.4,68.6,78.1,2946,7.2,2.3,0.1,0,12.9,60.3,9285,9.6,19.6,8.4,0.3,0,92,6.2,"Northwest CORE"
401,"Paris Special School District",100,NA,NA,NA,52.3,NA,NA,NA,60.6,76.6,1655,25.9,2,0,0.7,17.7,63.6,8840.9,27.9,NA,6.9,2.4,0,0,0,"Northwest CORE"
410,"Hickman County",40.2,22.6,54.2,45.1,48.9,60.3,57.5,31.3,58.1,68,3439,3.2,1.7,0.5,0.6,18.1,69.1,8965.8,5.4,18.4,17.3,1.6,0,92.5,5.2,"South Central CORE"
420,"Houston County",58.6,64.9,69.4,34,44.5,60.4,66.4,48.6,55.9,63,1298,5.1,2.2,0.7,0,16.3,56.7,9187.7,8,19.2,26.3,0.2,0,95.8,3.1,"Mid Cumberland CORE"
430,"Humphreys County",51.7,38.2,74.1,45.6,47,77.1,73.8,42.8,51.3,67.8,2738,4.6,1.9,0.4,0.4,15.6,58,8856.2,6.9,18.9,13.5,1.5,0.1,84.5,9.4,"Mid Cumberland CORE"
440,"Jackson County",45.9,33.3,68.9,50,42.8,61.8,47.3,46.3,45.3,64.7,1505,0.9,1.5,0.3,0,19.7,83.4,9165.8,2.7,18.4,8.2,0,0,87.4,8.4,"Upper Cumberland CORE"
450,"Jefferson County",80.4,53.7,76.5,49.5,40.9,76.4,70.1,38.1,50.2,62.2,7136,3.2,7,0.3,3.8,12.6,62.1,8627.7,10.5,19.5,13.2,1.8,0,89.7,7.8,"East TN CORE"
460,"Johnson County",74.7,40,65.2,33.3,49.8,67.1,50,23.5,52,70.8,2069,0.7,3.8,0.2,1.3,18.5,80.9,10449.2,4.7,19.2,12.3,0,0,98.6,0.7,"First TN CORE"
470,"Knox County",73.1,62.8,70.3,49.6,53.3,76.8,71.3,45.3,55.2,68.4,56383,16.6,7.2,0.4,4.3,13.9,40,9043,24.2,20.7,9.4,6.1,0,88.7,7.4,"East TN CORE"
