"system","system_name","AlgI","AlgII","BioI","Chemistry","ELA","EngI","EngII","EngIII","Math","Science","Enrollment","Pct_Black","Pct_Hispanic","Pct_Native_American","Pct_EL","Pct_SWD","Pct_ED","Per_Pupil_Expenditures","Pct_BHN","ACT_composite","Pct_Chronically_Absent","Pct_Suspended","Pct_Expelled","Graduation","Dropout","CORE_region"
794,"Bartlett City",78.1,59.5,71.8,36.2,60.6,80.3,74.6,41.6,66.2,75.9,8235,27.5,5,0.6,2.3,13.8,36.3,8857.7,33.1,20.5,9.6,4,0.3,81.3,9.4,"Southwest/Memphis CORE"
795,"Collierville City",90.2,85.6,87.4,80.4,75.1,92.5,86.2,66.2,75.7,86.8,7774,17.5,4.3,0.4,4,13.4,15,8383.2,22.2,24,5.9,2.8,0.3,93,2.7,"Southwest/Memphis CORE"
796,"Germantown City",90,84.2,88.9,78.5,79.4,90.8,87.7,70.8,74.3,88,5624,12.3,3.1,0.3,2.6,9.8,9.6,7930.8,15.7,24.1,5.1,1.3,0,88.7,7.9,"Southwest/Memphis CORE"
797,"Lakeland City",NA,NA,NA,NA,83.2,NA,NA,NA,88.2,90.9,835,8.2,2.6,0.4,3.6,19.3,14.7,8685.3,11.2,NA,3.9,0,0,NA,NA,"Southwest/Memphis CORE"
798,"Millington City",57.9,32.7,50.9,28.7,42.1,59.5,53.9,32.9,48.4,59.2,2597,38.8,11.3,0.8,3.7,16.1,75.2,8913.3,50.9,17.7,13.9,9.6,0.1,78.2,16.7,"Southwest/Memphis CORE"
800,"Smith County",NA,NA,70.6,36.5,48.3,77.4,68.4,42.5,56.9,71.3,2949,3.5,3.6,0.2,0.7,14.7,57.9,8324.1,7.3,18.5,4.8,2.1,0.1,97.4,1.3,"Upper Cumberland CORE"
810,"Stewart County",77.6,80.7,66.7,68.9,54.8,82.5,70.7,59.4,68.9,80,1950,2.6,2.1,0.6,0.1,13.4,49.1,9003.3,5.3,19.4,22.5,1.3,0,96.1,1.9,"Mid Cumberland CORE"
820,"Sullivan County",65.9,57.4,61.9,36.7,48.7,71.6,61.8,43.2,50.8,66.8,9963,1.5,1.6,0.3,0.4,17.6,58.3,9189.9,3.4,19.9,15,4.3,0.3,92.6,6.5,"First TN CORE"
821,"Bristol City",67.2,61.1,65.4,65.4,55.3,75.5,73.4,54.1,63.3,76.5,3922,5.7,3,0.4,1.1,15.9,50.4,9829.8,9.1,21.3,11,3.4,0,88.7,4.9,"First TN CORE"
822,"Kingsport City",87.5,75.5,83.9,71.7,58.5,82.4,77.7,49.7,67.1,75.7,6906,10.1,4,0.5,1.3,19.9,56.5,10438.8,14.6,22.2,15.8,4.6,0,90.3,7.2,"First TN CORE"
830,"Sumner County",73.8,59.4,68.6,52.6,60.3,76,70,48.5,67.7,72.5,27724,10.8,6.5,0.3,2,15.3,36.7,8402,17.6,20.4,9.3,2.4,0,89.5,7,"Mid Cumberland CORE"
840,"Tipton County",84.4,82,68.2,48.4,49.3,74.7,72.4,46.8,64.1,68.2,11029,24.7,2,0.2,0.4,16,55.5,8279.2,26.9,19.7,10.4,5.6,0,97.8,0.8,"Southwest/Memphis CORE"
850,"Trousdale County",75.6,68.4,59.3,67.9,59.8,67.8,71.3,51.7,75.8,82.1,1178,14.7,3.8,0.2,1.1,16.4,57.3,8816.6,18.7,20.8,9.2,1.1,0,96.9,1,"Upper Cumberland CORE"
860,"Unicoi County",51.2,26.6,72.6,42.6,42.8,75.7,63.3,37.8,48.5,68.4,2362,0.6,11.4,0.3,4.8,19,66.5,9362,12.3,18.1,23.3,2.4,0,93.6,4,"First TN CORE"
870,"Union County",63.4,55,53.1,47,38.2,64.9,54.6,48.3,38.1,50.8,4199,6,2.9,0.4,0.4,14.1,71.9,8802.5,9.3,17.4,20.9,5.2,0.1,87.1,8.6,"East TN CORE"
880,"Van Buren County",68.3,68.5,49.2,32.8,35.8,62.3,57.7,41.9,41.6,55.8,728,0.1,0,0,0,17.2,63.9,9622.2,0.1,18.4,10.9,0.4,0,91.5,8.5,"Upper Cumberland CORE"
890,"Warren County",NA,NA,57.3,34.7,43.7,72.5,60.7,17.7,48.6,63.7,6371,5.6,15.5,0.5,6.7,16.5,70.2,8600.8,21.6,18.4,15,1.5,0,89.1,8.8,"Upper Cumberland CORE"
900,"Washington County",67,48.7,67.6,58.9,55,74.4,67.9,50.5,61.7,71,8546,2.5,3,0.4,0.6,14.3,48.2,8500.9,5.9,20.2,14.7,1.3,0.1,91,2.1,"First TN CORE"
901,"Johnson City",86.1,86.4,81.7,65,67.3,82.7,78,63.8,73.7,77.6,7669,14.4,8.7,0.2,4.9,13.7,49.5,9434.3,23.3,21.8,8.3,3.3,0.2,90.4,5.9,"First TN CORE"
910,"Wayne County",71.8,56,69.5,29.7,36.9,78.1,68.9,32.9,42.6,60.3,2215,1.2,1.7,0.2,0.1,19.1,43.6,9505.6,3.1,18.2,19.7,0,0,95.8,1.2,"South Central CORE"
920,"Weakley County",79.3,64.3,81.2,50.7,55.4,83.6,71.7,60.3,59.1,75.9,4209,9.9,2.3,0.1,0.1,14.1,58,8439.3,12.3,19.7,9.9,4.4,0,93,4.2,"Northwest CORE"
930,"White County",80.3,58.6,82.8,20.2,47.2,78.5,72.1,49.8,59,68.2,3871,3.6,2.1,0.2,0.5,16.7,66.7,7721.1,5.9,18.7,8.4,0.8,0,92.5,3,"Upper Cumberland CORE"
940,"Williamson County",90.3,84.8,89.2,81,80.7,92.9,88.7,68.6,80.3,91.1,34395,5,5.3,0.7,1.7,10.2,9.6,8739.7,11,23.8,7,0.2,0,94.4,4.4,"Mid Cumberland CORE"
941,"Franklin Special School District",100,NA,NA,NA,69.1,NA,NA,NA,73.2,83.3,3515,15.5,24,0.7,12.2,12.5,38.9,13386.3,40.2,NA,3.2,0.3,0,NA,NA,"Mid Cumberland CORE"
950,"Wilson County",69.8,58,74.1,45.4,60.6,78.1,76.1,44,65.3,81.9,16507,8.1,4.6,0.1,2.2,14.4,29.2,7690.8,12.8,20,11.6,4.8,0,96.3,2.9,"Mid Cumberland CORE"
951,"Lebanon Special School District",100,NA,NA,NA,49.8,NA,NA,NA,52.6,71.3,3572,18.4,13,0.4,9.2,14,61.9,8444.1,31.8,NA,8.4,4.9,0,NA,NA,"Mid Cumberland CORE"
960,"West Tenn School for Deaf",NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,48.7,7.7,0,0,97.4,76.9,NA,56.4,NA,23.1,0,0,NA,NA,"Southwest/Memphis CORE"
961,"Alvin C. York Institute",79.5,69.8,70.4,24.3,NA,72.4,66,52.4,NA,NA,NA,0.3,1.3,0.5,0.2,10,61.9,NA,2.1,NA,20.8,0,0,81.3,14.2,"Upper Cumberland CORE"
963,"Tenn School for Blind",23.1,NA,25,NA,6.7,60,NA,20,0,10,NA,16.1,9.8,0,1.4,94.4,32.9,NA,25.9,NA,41.3,0,0,11.1,0,"Mid Cumberland CORE"
964,"Tenn School for Deaf",NA,0,11.8,NA,4.4,0,6.7,0,2.9,7.4,NA,25.6,6.3,0,0,98.8,0,NA,31.9,NA,30,0,0,77.8,0,"East TN CORE"
985,"Achievement School District",34,20.4,20.6,4.5,14.3,37.8,33,8.2,23.3,26.1,6370,96.7,1.5,0,1.1,12.9,96.6,12804.4,98.2,14.2,27.2,21.4,0.1,54.7,27.6,"Southwest/Memphis CORE"
